"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2020-08-17","14:30:00",3385.02,"53 Aug 19 3350 P STO 4.50 | 53 Aug 19 3415 C STO 2.80 | 53 Aug 21 3350 P BTO 10.10 | 53 Aug 21 3415 C BTO 7.50",-1040,3394.07,"2020-08-19","09:45:00",-985,"Exited at Specified Time",-3423.8,53,1400356.2,55120,"",254.4,254.4,0.415,0.079,8.01,4.16,0,-10.58
"2020-08-10","14:30:00",3358.41,"54 Aug 12 3320 P STO 4.90 | 54 Aug 12 3395 C STO 2.45 | 54 Aug 14 3320 P BTO 10.75 | 54 Aug 14 3395 C BTO 6.70",-1020,3363.89,"2020-08-12","09:45:00",-1120,"Exited at Specified Time",4881.6,54,1403780,55080,"",259.2,259.2,0.421,0.1,4.76,2.37,34.8,-7.84
"2020-08-03","14:30:00",3300.72,"45 Aug 5 3260 P STO 6.00 | 45 Aug 5 3340 C STO 3.40 | 45 Aug 7 3260 P BTO 13.10 | 45 Aug 7 3340 C BTO 8.55",-1235,3321.93,"2020-08-05","09:45:00",-1270,"Exited at Specified Time",1143,45,1398898.4,55575,"",216,216,0.434,0.111,17.14,12.46,7.29,-11.34
"2020-07-27","14:30:00",3235.29,"39 Jul 29 3190 P STO 5.95 | 39 Jul 29 3280 C STO 3.40 | 39 Jul 31 3190 P BTO 14.30 | 39 Jul 31 3280 C BTO 9.10",-1415,3233.6,"2020-07-29","09:45:00",-1330,"Exited at Specified Time",-3689.4,39,1397755.4,55185,"",187.2,187.2,0.4,0.104,4.21,15.45,0.71,-6.71
"2020-07-20","14:30:00",3245.27,"46 Jul 22 3200 P STO 6.00 | 46 Jul 22 3290 C STO 3.90 | 46 Jul 24 3200 P BTO 12.90 | 46 Jul 24 3290 C BTO 8.80",-1190,3262.72,"2020-07-22","09:45:00",-1455,"Exited at Specified Time",11748.4,46,1401444.8,54740,"",220.8,220.8,0.456,0.073,-0.44,20.98,23.11,-1.26
"2020-07-13","14:30:00",3207.46,"37 Jul 15 3150 P STO 7.55 | 37 Jul 15 3260 C STO 4.40 | 37 Jul 17 3150 P BTO 15.75 | 37 Jul 17 3260 C BTO 10.65",-1455,3232.32,"2020-07-15","09:45:00",-1790,"Exited at Specified Time",12039.8,37,1389696.4,53835,"",177.6,177.6,0.453,0.124,20.04,2.38,28.87,-7.56
"2020-07-06","14:30:00",3169.08,"41 Jul 8 3120 P STO 6.80 | 41 Jul 8 3220 C STO 3.80 | 41 Jul 10 3120 P BTO 14.75 | 41 Jul 10 3220 C BTO 9.10",-1335,3163.96,"2020-07-08","09:45:00",-1350,"Exited at Specified Time",221.4,41,1377656.6,54735,"",196.8,196.8,0.444,0.096,25.28,13.79,13.48,-7.49
"2020-06-22","14:30:00",3113.71,"31 Jun 24 3050 P STO 8.45 | 31 Jun 24 3175 C STO 4.70 | 31 Jun 26 3050 P BTO 18.15 | 31 Jun 26 3175 C BTO 12.40",-1750,3111.46,"2020-06-24","09:45:00",-1545,"Exited at Specified Time",-6652.6,31,1377435.2,54250,"",148.8,148.8,0.43,0.043,-3.32,19.29,8.29,-11.43
"2020-06-15","14:30:00",3076.4,"31 Jun 17 3000 P STO 11.50 | 31 Jun 17 3160 C STO 6.10 | 31 Jun 19 3000 P BTO 21.95 | 31 Jun 19 3160 C BTO 13.00",-1745,3132.23,"2020-06-17","09:45:00",-2230,"Exited at Specified Time",14737.4,31,1384087.8,54095,"",148.8,148.8,0.504,0.197,-47.55,82.64,30.37,-13.75
"2020-06-08","14:30:00",3220.03,"40 Jun 10 3170 P STO 7.00 | 40 Jun 10 3275 C STO 4.30 | 40 Jun 12 3170 P BTO 14.85 | 40 Jun 12 3275 C BTO 9.80",-1345,3204.05,"2020-06-10","09:45:00",-1905,"Exited at Specified Time",22016,40,1369350.4,53800,"",192,192,0.458,0.202,5.99,20.11,42.38,-2.97
"2020-06-01","14:30:00",3055.58,"37 Jun 3 3005 P STO 7.65 | 37 Jun 3 3110 C STO 3.70 | 37 Jun 5 3005 P BTO 16.40 | 37 Jun 5 3110 C BTO 9.35",-1450,3105.79,"2020-06-03","09:45:00",-1510,"Exited at Specified Time",1864.8,37,1347334.4,53650,"",177.6,177.6,0.441,0.298,-5.53,16.8,6.21,-11.03
"2020-05-18","14:30:00",2958.81,"42 May 20 2905 P STO 7.60 | 42 May 20 3015 C STO 3.90 | 42 May 22 2905 P BTO 15.85 | 42 May 22 3015 C BTO 8.30",-1275,2964.69,"2020-05-20","09:45:00",-1215,"Exited at Specified Time",-2923.2,42,1345469.6,53550,"",201.6,201.6,0.476,0.05,50.16,44.95,27.06,-10.98
